name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
My Mistake,198960,35,0.847,0.522,0.326,0.0279,0.366,-11.17,0.0652,79.79
Happy Little Pill,224874,0,0.000848,0.567,0.593,2.09e-06,0.114,-7.127,0.0375,91.703
Send My Love (To Your New Lover),223080,0,0.0415,0.69,0.524,3.16e-06,0.17,-8.39,0.103,164.023
Greased Lightnin' - From “Grease” Soundtrack,193066,0,0.211,0.562,0.858,0.00436,0.24,-9.884,0.113,159.783
You Know I'm No Good,256946,0,0.0154,0.698,0.811,0.0029,0.0617,-3.594,0.03,102.985
Taro,314986,0,0.765,0.35,0.476,0.0039,0.0785,-10.653,0.034,171.938
Snapback,206506,65,0.302,0.687,0.793,3.46e-06,0.1,-3.577,0.0333,100.993
The Gambler,214880,75,0.342,0.671,0.501,0,0.194,-13.119,0.0594,87.04
Asleep - 2008 Remaster,250280,46,0.883,0.51,0.255,0.55,0.0696,-15.903,0.0291,115.115
Psycho,316717,70,0.00114,0.555,0.883,0.041,0.868,-3.426,0.0341,125.02
First Day Of My Life,188800,2,0.915,0.602,0.201,8.28e-05,0.0952,-17.024,0.0363,95.345
Houdini 2016,184624,25,0.0847,0.567,0.708,0,0.1,-6.416,0.0646,130.136
Glamorous,246573,70,0.291,0.81,0.755,0,0.0857,-6.408,0.199,130.991
Down,212506,80,0.0101,0.727,0.68,0,0.0821,-4.498,0.0286,132.012
Summertime of Our Lives,195173,1,0.274,0.618,0.504,0,0.105,-7.571,0.0347,138.031
Fuck You,223694,66,0.193,0.693,0.879,0,0.124,-3.988,0.0578,127.457
"No Light, No Light",274821,0,0.0122,0.429,0.752,1.62e-05,0.426,-5.648,0.0522,131.9
Billie Jean,259920,59,0.829,0.532,0.203,0,0.108,-8.524,0.0668,89.646
The Last Time,298293,51,0.035,0.505,0.443,3.15e-06,0.0921,-7.039,0.0276,94.069
"30,000 Feet",256933,0,0.702,0.558,0.45,0,0.0602,-9.641,0.0525,179.873
Swoon,365080,0,0.0022,0.492,0.773,0.835,0.305,-5.845,0.0369,123.974
One Day,202496,72,0.922,0.52,0.119,0,0.0883,-12.148,0.0407,69.217
Locked In The Basement,221869,0,0.239,0.453,0.751,0.519,0.176,-8.852,0.0304,101.614
Set Me On Fire,217689,29,0.0725,0.495,0.917,0,0.192,-3.142,0.116,95.153
Small Town,221626,66,0.155,0.659,0.919,0.0054,0.312,-2.658,0.0333,123.135
Gasoline,199593,0,0.201,0.732,0.605,0,0.129,-7.307,0.0401,120.013
Golden Hour,198453,68,0.0952,0.611,0.555,0,0.11,-6.372,0.0274,88.969
Bro Code,193053,53,0.0116,0.535,0.924,1.7e-05,0.117,-5.092,0.0931,159.98
Move on Up - Extended Version,535333,64,0.141,0.584,0.975,0.501,0.101,-6.534,0.0651,138.341
Pumpin Blood,209485,38,0.000469,0.618,0.848,0.522,0.189,-4.36,0.0279,118.998
Men's Needs,195973,49,0.000102,0.547,0.944,9.95e-05,0.0665,-2.264,0.0469,122.005
Pretty Women,267546,44,0.886,0.292,0.198,0.0101,0.759,-14.947,0.0456,81.268
Touch,180840,52,0.263,0.758,0.907,1.99e-06,0.062,-6.099,0.247,133.042
She Will Be Loved - Radio Mix,259453,80,0.228,0.651,0.663,0,0.0994,-5.569,0.0281,102.0
After Rain,294000,0,0.505,0.48,0.418,0.00416,0.11,-9.622,0.0312,132.404
Bless The Broken Road,226680,73,0.671,0.591,0.45,2.23e-05,0.159,-6.369,0.0266,135.893
Iran,246906,0,0.0175,0.539,0.871,0.0189,0.241,-5.487,0.061,113.98
Tightrope,218320,41,0.908,0.514,0.266,0.0107,0.0838,-13.021,0.0331,97.007
Jealous,223106,67,0.013,0.7,0.701,0,0.461,-3.834,0.161,93.012
Someday,183440,67,0.00425,0.539,0.521,0,0.367,-7.46,0.0299,106.035
